sku,source,category,sub_category,product_name,price,brand,item_weight,unit_count,rating_count,date
z2519adea5027508c785az,noon,grocery,"creal,oats,jams&honey",hazelnut spread chocolate-350g,144.0,milkato,350,1.0,,2026-06-25
z30d5a2a3b3cd4528c8efz,noon,grocery,"creal,oats,jams&honey",hazelnut chocolate spread sweetened with monkfruit - 250g,211.0,lakanto,250,1.0,,2026-06-25
z636c8e176e4441665b72z,noon,grocery,"creal,oats,jams&honey",dark chocolate spread sweetened with monkfruit - 250g,211.0,lakanto,250,1.0,,2026-06-25
z4be483981c4d41f0f3caz,noon,grocery,"creal,oats,jams&honey",mouni vip - 12 sachets x 16 grams - from uni smart group,225.0,uni smart group,12,1.0,,2026-06-25
z6e7776360b944ddbd50ez,noon,grocery,"creal,oats,jams&honey",oat whole grain 500g,57.0,haj arafa,500,1.0,,2026-06-25
z67e4983f4c7bb9be04b1z,noon,grocery,"creal,oats,jams&honey",maxtella chocolate hazelnut spread – 450g jar – rich creamy chocolate with premium hazelnuts,94.99,maxtella,450,1.0,,2026-06-25
z5d5e063d2fe1c5d29d54z,noon,grocery,"creal,oats,jams&honey",saegh honey with nuts 250g,137.0,saegh,250,1.0,,2026-06-25
zed330bb26a58f6584666z,noon,grocery,"creal,oats,jams&honey",healthy spread chocolate extra nuts with hazelnut pieces 375 gm,216.0,milkato,375,1.0,,2026-06-25
n30328302a,noon,grocery,"creal,oats,jams&honey",whey protein oats 500grams,105.0,kayy,500,1.0,,2026-06-25
za31487989356e91e27eez,noon,grocery,"creal,oats,jams&honey",speculoos biscuits spread 380 gm,171.0,milkato,380,1.0,,2026-06-25
zff638991d748cb593f57z,noon,grocery,"creal,oats,jams&honey","chocolate spread from x spread with natural hazelnut pieces, 350 g.",90.0,mozn,350,1.0,,2026-06-25
z6a8cacc9ad838d13ac9ez,noon,grocery,"creal,oats,jams&honey",healthy spread chocolate original with hazelnut 375 gm,200.0,milkato,375,1.0,,2026-06-25
zc61df738357b6f3296c9z,noon,grocery,"creal,oats,jams&honey",crunchy peanut butter 320g,112.0,haj arafa,320,1.0,,2026-06-25
z8784cb5db1ae8f4833dfz,noon,grocery,"creal,oats,jams&honey",beeswax 500 grams - 100% natural from uni smart group,145.0,uni smart group,500,1.0,,2026-06-25
n28548504a,noon,grocery,"creal,oats,jams&honey",high fibre oats flakes 500grams,133.0,sante,500,1.0,,2026-06-25
zb63feb5b966b98e7a90dz,noon,grocery,"creal,oats,jams&honey",citrus honey 2.2kg,687.0,imtenan,2,1.0,,2026-06-25
n42868104a,noon,grocery,"creal,oats,jams&honey",fruit rings 250grams,36.0,cornexi,250,1.0,,2026-06-25
z3f874ebf1f408cb6907ez,noon,grocery,"creal,oats,jams&honey",peanut protein bar 70 grams,56.0,imtenan,70,1.0,,2026-06-25
zd7fab2707a43241e364az,noon,grocery,"creal,oats,jams&honey",plain sesame halawa 250gm,37.0,halwani bros,250,1.0,,2026-06-25
n51182038a,noon,grocery,"creal,oats,jams&honey",protein almond bar 70grams,94.0,abu auf,70,1.0,,2026-06-25
z343d67bf71b0822adcc2z,noon,grocery,"creal,oats,jams&honey",rotus caramel and cinnamon biscuit sauce - dessert topping & syrup - 350g,99.99,rotus,350,1.0,,2026-06-25
z8ebdb4e55c3020b9e4eez,noon,grocery,"creal,oats,jams&honey","abu auf peanut butter no added sugar , 330 gm",169.9,abu auf,330,1.0,,2026-06-25
n35958675a,noon,grocery,"creal,oats,jams&honey",crunchy peanut butter 510grams,126.0,dobella,510,1.0,,2026-06-25
zfbaa6308d770b54da4efz,noon,grocery,"creal,oats,jams&honey",luxury coconut and almond chocolate gift box - 15 pieces - 156g,690.0,ferrero,156,1.0,,2026-06-25
z7d8121ea1810bfd73d47z,noon,grocery,"creal,oats,jams&honey",egyptian mountain sidr honey 2.2kg,1676.0,imtenan,2,1.0,,2026-06-25
z055a3289fbceff600906z,noon,grocery,"creal,oats,jams&honey",corn flakes 400 grams,83.0,imtenan,400,1.0,,2026-06-25
zbe9ab769292239bdc2bbz,noon,grocery,"creal,oats,jams&honey",elhelwa plain sesame halawa 700g,121.25,halwani bros,700,1.0,,2026-06-25
ze5677a7d35e3c270d968z,noon,grocery,"creal,oats,jams&honey",el mordjene - gourmet hazelnut spread - 700gm,699.75,el mordjene,700,1.0,,2026-06-25
za84ee19dbdff8b30953ez,noon,grocery,"creal,oats,jams&honey",sesame halawa with pistachio 250g,90.0,halwani bros,250,1.0,,2026-06-25
zed634aa5fc7c5324ddcfz,noon,grocery,"creal,oats,jams&honey",protein flex brownies pops 250g,76.0,real,250,1.0,,2026-06-25
z2144cdaccda60fa77dfaz,noon,grocery,"creal,oats,jams&honey",bran flakes 400 grams,92.0,imtenan,400,1.0,,2026-06-25
zb252f3214c55179fd316z,noon,grocery,"creal,oats,jams&honey",arkan halawa with chocolate – 400g sweet sesame dessert – authentic middle eastern confection,105.0,arkan,300,1.0,,2026-06-25
n12280411a,noon,grocery,"creal,oats,jams&honey",tropical flavour muesli 350grams,136.0,sante,350,1.0,,2026-06-25
z2e6f9211fa9db57ee875z,noon,grocery,"creal,oats,jams&honey",عسل سدر جبلي طبيعي فاخر – 400 جم | نقي، صحي، أصيل,550.0,nan,1000,1.0,,2026-06-25
n29595074a,noon,grocery,"creal,oats,jams&honey",vitrac fig light jam 220grams,40.25,vitrac,220,1.0,,2026-06-25
n42868058a,noon,grocery,"creal,oats,jams&honey",oat flakes 500grams,72.0,class a,500,1.0,,2026-06-25
z6be59a081e5d6b7f1a38z,noon,grocery,"creal,oats,jams&honey",chocolate hazelnut crunchy spread 300g,106.0,el bawadi,300,1.0,,2026-06-25
z3ec07756f9105745fab9z,noon,grocery,"creal,oats,jams&honey",squeez honey 1000g,230.0,saegh,1000,1.0,,2026-06-25
zc0acc66106703a4b3913z,noon,grocery,"creal,oats,jams&honey",toffee bites 225gm,82.0,real,225,1.0,,2026-06-25
n35958674a,noon,grocery,"creal,oats,jams&honey",creamy peanut butter 510grams,126.0,dobella,510,1.0,,2026-06-25
ze3e1cd3f48950b0f6608z,noon,grocery,"creal,oats,jams&honey",healthy matcha granola 275g,239.0,greenuts,275,1.0,,2026-06-25
n29595072a,noon,grocery,"creal,oats,jams&honey",strawberry light jam 220grams,40.25,vitrac,220,1.0,,2026-06-25
zd6a2986b2e7a18a67cd2z,noon,grocery,"creal,oats,jams&honey",asmacup peanut butter spread 900 gm,211.5,asmacup,900,1.0,,2026-06-25
n42868074a,noon,grocery,"creal,oats,jams&honey",oats flour gluten free 500grams,143.25,healthy mill,500,1.0,,2026-06-25
z145183cfaa081a8dbdb8z,noon,grocery,"creal,oats,jams&honey",keto bar almonds 60 grams,100.0,healthy & tasty,60,1.0,,2026-06-25
ze791930f39178d9506edz,noon,grocery,"creal,oats,jams&honey",dubai filling kunafa & pistachio 1 kg,449.1,asmacup,1000,1.0,,2026-06-25
n28727425a,noon,grocery,"creal,oats,jams&honey",peanut butter with dark chocolate 330grams,173.25,abu auf,330,1.0,,2026-06-25
z1ddab03a25d4d659be9fz,noon,grocery,"creal,oats,jams&honey",gold hazelnuts cream 350 gm,180.0,milkato,350,1.0,,2026-06-25
z44f7310633693bd7ad3dz,noon,grocery,"creal,oats,jams&honey",imported ferrero rocher chocolate - 16 pieces - 200g - rich hazelnut flavour,495.0,ferrero,200,1.0,,2026-06-25
z474ccc0f72deaa126622z,noon,grocery,"creal,oats,jams&honey",chocolate hazelnut spread 350g,108.0,asmacup,350,1.0,,2026-06-25
zad6b876d43b1d47c3f8cz,noon,grocery,"creal,oats,jams&honey","max tilla hazelnut and chocolate spread savings bundle - 3 packs x 900g (total 2.7kg) - rich flavor & creamy texture, perfect for sandwiches, crepes and desserts",480.0,maxtella,2,1.0,,2026-06-25
z02d1837edabc2817543ez,noon,grocery,"creal,oats,jams&honey",pistachio spread cream 1 kg,585.0,asmacup,1000,1.0,,2026-06-25
n52906986a,noon,grocery,"creal,oats,jams&honey",greek honey 455grams,964.0,attiki,455,1.0,,2026-06-25
n35958663a,noon,grocery,"creal,oats,jams&honey",oat flakes 500grams,72.0,mega foods,500,1.0,,2026-06-25
zc750d224d5cf2f421655z,noon,grocery,"creal,oats,jams&honey",keto coconut chocolate bar 60 grams,100.0,healthy & tasty,60,1.0,,2026-06-25
z44a8181c9ac111a8aafcz,noon,grocery,"creal,oats,jams&honey",asmacup white chocolate oreo spread 900 gm,202.5,asmacup,900,1.0,,2026-06-25
n28548501a,noon,grocery,"creal,oats,jams&honey",crunchy banana with chocolate 350grams,149.0,sante,350,1.0,,2026-06-25
ze10514430a1b47023a5ez,noon,grocery,"creal,oats,jams&honey",pomegranate molasses 540 gram,77.0,dobella,540,1.0,,2026-06-25
zb8e7c8af706e781cd731z,noon,grocery,"creal,oats,jams&honey",hazelnut chocolate spread 900g,179.1,asmacup,900,1.0,,2026-06-25
z494c85084fcd5952d8e5z,noon,grocery,"creal,oats,jams&honey",max tella hazelnut and cocoa chocolate spread - rich creamy texture for breakfast & desserts - value pack 900g,175.0,maxtella,1,1.0,,2026-06-25
zea15fd7aa5fe5bc44bfez,noon,grocery,"creal,oats,jams&honey",creamy peanut butter 320g,112.0,haj arafa,320,1.0,,2026-06-25
n12280412a,noon,grocery,"creal,oats,jams&honey",crunchy classic crispy cereal flakes 350grams,121.0,sante,350,1.0,,2026-06-25
z76b3bbe886acd5db82f3z,noon,grocery,"creal,oats,jams&honey",plain sesame light diet halawa,80.0,halwani bros,250,1.0,,2026-06-25
za70c3813cdab9e571ac3z,noon,grocery,"creal,oats,jams&honey",rotus spread cream – cinnamon & caramel flavor – smooth & creamy dessert filling – family snack – 350g,95.0,rotus,350,1.0,,2026-06-25
n42868072a,noon,grocery,"creal,oats,jams&honey",gluten free whole grain oats 500grams,146.75,healthy mill,500,1.0,,2026-06-25
z8f11fd8cfb38f18461bbz,noon,grocery,"creal,oats,jams&honey",rocher spread cream irresistible luxurious rocher goodness 350 gm,162.0,asmacup,350,1.0,,2026-06-25
z1acfb0c3e83a7bf8b5e2z,noon,grocery,"creal,oats,jams&honey",فستق اسبريد 200 جرام,179.1,اسماكب,200,1.0,,2026-06-25
z4ba27ef7129f14d5cbc5z,noon,grocery,"creal,oats,jams&honey",maxtella chocolate hazelnut spread - 320g,99.99,maxtella,320,1.0,,2026-06-25
n42868004a,noon,grocery,"creal,oats,jams&honey",fit granola strawberry and cherry 300grams,208.25,sante,300,1.0,,2026-06-25
z3d684ec7b8f717ab7b3cz,noon,grocery,"creal,oats,jams&honey",nawara honey with honey 450 g,126.0,shana nature house,470,1.0,,2026-06-25
zbac47afbe9d043cc1535z,noon,grocery,"creal,oats,jams&honey",classic chocolate spread with hazelnut 900g,270.0,milkato,900,1.0,,2026-06-25
zdd63bfafa8ac6d96b249z,noon,grocery,"creal,oats,jams&honey",crunchy caramel bar- 23.5 gm - pack of 6,107.0,fitness,23,1.0,,2026-06-25
n42652842a,noon,grocery,"creal,oats,jams&honey",fruit flakes box 250grams,36.0,cornexi,250,1.0,,2026-06-25
zf1aa20df3dafaab8de62z,noon,grocery,"creal,oats,jams&honey",bee immunity honey propolis 170 grams,296.5,imtenan,170,1.0,,2026-06-25
n42868000a,noon,grocery,"creal,oats,jams&honey",gold granola with chocolate and orange 300grams,228.0,sante,300,1.0,,2026-06-25
z92f2187b0188a9587163z,noon,grocery,"creal,oats,jams&honey",pistachio spread 350 gm ( premium quality ),324.0,milkato,350,1.0,,2026-06-25
n28992059a,noon,grocery,"creal,oats,jams&honey",pure honey 250grams,94.0,isis,250,1.0,,2026-06-25
z1e2a9a99efbb2bb80b37z,noon,grocery,"creal,oats,jams&honey",protein bar peanut butter 70 gm,61.0,abu auf,70,1.0,,2026-06-25
z95782e5c2eca73e3a8d6z,noon,grocery,"creal,oats,jams&honey",pure black seed honey – kidney support & natural protection 200g,166.5,wadyan,200,1.0,,2026-06-25
z66a4b7e26018279c14cdz,noon,grocery,"creal,oats,jams&honey",nuts bar coconut & fruit nut 40 grams,44.0,abu auf,40,1.0,,2026-06-25
n44900122a,noon,grocery,"creal,oats,jams&honey",marroni chestnut cream 340grams,138.0,menz&gasser,340,1.0,,2026-06-25
n51182034a,noon,grocery,"creal,oats,jams&honey",protein bar nuts & caramel 40grams,84.25,abu auf,40,1.0,,2026-06-25
z972669cc840eb3544899z,noon,grocery,"creal,oats,jams&honey",greenuts bran flakes high-fiber breakfast cereal 250g – healthy wheat bran flakes for digestive support,99.0,greenuts,250,1.0,,2026-06-25
n35958764a,noon,grocery,"creal,oats,jams&honey",chocolate topping 250grams,61.0,solo,250,1.0,,2026-06-25
n52490743a,noon,grocery,"creal,oats,jams&honey",pure honey squeeze 450g,152.0,isis,500,1.0,,2026-06-25
z5659e8a4b6070a5b0d7az,noon,grocery,"creal,oats,jams&honey",nutella food service - hazelnut spread with cocoa - professional & bulk size 3 kg,3100.0,nutella,3,1.0,,2026-06-25
n42652841a,noon,grocery,"creal,oats,jams&honey",corn flakes box 250grams,48.0,cornexi,250,1.0,,2026-06-25
n28727408a,noon,grocery,"creal,oats,jams&honey",peanut butter 330grams,162.25,abu auf,330,1.0,,2026-06-25
zfad04b16faf5e34f0a38z,noon,grocery,"creal,oats,jams&honey",tasbera crunchy hazelnuts cream with cocoa 350 gm,180.0,milkato,350,1.0,,2026-06-25
n29595061a,noon,grocery,"creal,oats,jams&honey",vitrac fig jam 850grams,107.0,vitrac,850,1.0,,2026-06-25
n40201453a,noon,grocery,"creal,oats,jams&honey",high protein instant apple oat meal 300grams,70.25,kayy,300,1.0,,2026-06-25
z7200c73618fac873cb34z,noon,grocery,"creal,oats,jams&honey",plain date spread 230g,113.0,abu auf,230,1.0,,2026-06-25
zcd8411394f6385fdf8d7z,noon,grocery,"creal,oats,jams&honey",spring flowers honey squeezed 450grams,118.0,imtenan,450,1.0,,2026-06-25
z9c154494b856cf817029z,noon,grocery,"creal,oats,jams&honey",cereal bars strawberry flavor - 168 gram,97.0,lino,2,1.0,,2026-06-25
n29153210a,noon,grocery,"creal,oats,jams&honey",oats + turmeric and ginger 500grams,87.0,kayy,500,1.0,,2026-06-25
n29595052a,noon,grocery,"creal,oats,jams&honey",vitrac mix starwberry and raspberry jam - 430grams,54.5,vitrac,430,1.0,,2026-06-25
n42652944a,noon,grocery,"creal,oats,jams&honey",coconut and milk chocolate protein vitamin bar 50grams,75.0,sante,50,1.0,,2026-06-25
n51182039a,noon,grocery,"creal,oats,jams&honey",protein bar caramel biscuits bar 70grams,61.0,abu auf,70,1.0,,2026-06-25
z36c57e37ca4ac2b6e7d1z,noon,grocery,"creal,oats,jams&honey",citrus blossom honey 950g,254.0,shana nature house,950,1.0,,2026-06-25
n52422171a,noon,grocery,"creal,oats,jams&honey",clover honey 500ml,134.0,al shifa,500,1.0,,2026-06-25
zbb71302cce11cdd170bdz,noon,grocery,"creal,oats,jams&honey","max tella - smooth hazelnut chocolate cream - rich cocoa butter & hazelnut spread - family pack (specify weight, e.g., 1kg)",175.0,maxtella,900,1.0,,2026-06-25
z1ffc8a07d20f957c3efdz,noon,grocery,"creal,oats,jams&honey",chewy bar with chocolate chips flavor - 144 gram pack of 6,81.0,lino,1,1.0,,2026-06-25
n30344944a,noon,grocery,"creal,oats,jams&honey",oats with chia 500grams,69.0,healthy mill,500,1.0,,2026-06-25
z20cbf2374920cd18088az,noon,grocery,"creal,oats,jams&honey",hazelnut milk chocolate spread with no added sugar 320g,201.0,haj arafa,320,1.0,,2026-06-25
z204c6436fdab96e54501z,noon,grocery,"creal,oats,jams&honey",wild herbs wonder bee honey 950gm,188.0,wonder bee honey,950,1.0,,2026-06-25
z193c56116ddaee8ac6f6z,noon,grocery,"creal,oats,jams&honey",peanut bites 225g,82.0,real,225,1.0,,2026-06-25
z16e8c5535fee9c98c912z,noon,grocery,"creal,oats,jams&honey",dreem chocolate spread with natural hazelnut - 900g,337.0,dreem,900,1.0,,2026-06-25
n52103812a,noon,grocery,"creal,oats,jams&honey",honey with nuts 250g,226.0,isis,250,1.0,,2026-06-25
z30af572d625db3703994z,noon,grocery,"creal,oats,jams&honey",peanut butter -350g,140.0,organic nation,350,1.0,,2026-06-25
zcbb36bcfee2d3a11c2abz,noon,grocery,"creal,oats,jams&honey",clover blossom honey squeeze 450grams,118.0,imtenan,450,1.0,,2026-06-25
z57cb71403ca460df2253z,noon,grocery,"creal,oats,jams&honey",protein fruits rings 250g,76.0,real,250,1.0,,2026-06-25
z87a88cd2bfdab9905d67z,noon,grocery,"creal,oats,jams&honey",clover blossom honey- 225 grams,70.0,royal,225,1.0,,2026-06-25
z106af01a51a49a519394z,noon,grocery,"creal,oats,jams&honey",coconut butter 375g,340.0,healthy & tasty,375,1.0,,2026-06-25
z90fda044bd6f5d1b53c9z,noon,grocery,"creal,oats,jams&honey",strawberry jam 650 grams,54.25,al bawadi,650,1.0,,2026-06-25
zdcedc3097c06fe651678z,noon,grocery,"creal,oats,jams&honey",protein vanilla flakes 250g,76.0,real,250,1.0,,2026-06-25
z840d6cc4bdb7b7743af8z,noon,grocery,"creal,oats,jams&honey",citrus honey 420 grams,108.25,el bawadi,420,1.0,,2026-06-25
z4ad066c7e02648c47170z,noon,grocery,"creal,oats,jams&honey",nawara clover honey hexagonal 250grams,71.75,imtenan,250,1.0,,2026-06-25
zeac6f66419662190be3dz,noon,grocery,"creal,oats,jams&honey",natural citrus honey 500g,195.0,haj arafa,500,1.0,,2026-06-25
zbdcd62cbb00cec17cd3fz,noon,grocery,"creal,oats,jams&honey",sesame halawa with hazelnuts 250gm,69.0,halwani bros,250,1.0,,2026-06-25
n44807102a,noon,grocery,"creal,oats,jams&honey",black cherry jam mini jar - 28.3grams,18.0,hero,28,1.0,,2026-06-25
zb21ce2feb8829ff2a6c6z,noon,grocery,"creal,oats,jams&honey",chewy bar with marshmallow flavor - 144 gram pack of 8,81.0,lino,1,1.0,,2026-06-25
n35958670a,noon,grocery,"creal,oats,jams&honey",creamy peanut butter 340grams,96.0,dobella,340,1.0,,2026-06-25
n47961266a,noon,grocery,"creal,oats,jams&honey",spread chocolate with mint 475grams,125.0,lavida,475,1.0,,2026-06-25
z1b4f71f11e39a188b54bz,noon,grocery,"creal,oats,jams&honey",sesame halawa with chocolate 530g,95.0,halwani bros,530,1.0,,2026-06-25
z0d5d29476479c54c88f2z,noon,grocery,"creal,oats,jams&honey",spring blossom honey 780 grams,193.25,el bawadi,780,1.0,,2026-06-25
z300054146d1116e474aez,noon,grocery,"creal,oats,jams&honey",fruit preserve fig jam glass jar 340 grams,41.0,halwani bros,380,1.0,,2026-06-25
zf01a4ad64b95d0921a15z,noon,grocery,"creal,oats,jams&honey",hadrami mountain sidr honey 2.25kg,4752.0,imtenan,2,1.0,,2026-06-25
zcdc7aa0a4395934a9142z,noon,grocery,"creal,oats,jams&honey",abu auf almond butter 180 gm,299.95,abu auf,180,1.0,,2026-06-25
n40201455a,noon,grocery,"creal,oats,jams&honey",high protein instant blueberry oat meal 300grams,70.25,kayy,300,1.0,,2026-06-25
n35958657a,noon,grocery,"creal,oats,jams&honey",oat flakes bag 500grams,73.0,dobella,500,1.0,,2026-06-25
z70bb90f84a0b0d28ea5bz,noon,grocery,"creal,oats,jams&honey",clover flower honey 780 grams,217.0,el bawadi,780,1.0,,2026-06-25
z5d5f1cdfbcb4ee4aac3az,noon,grocery,"creal,oats,jams&honey",crunchy pillow 250 gram,84.0,kiddo,250,1.0,,2026-06-25
z0504d0d52699454df1d2z,noon,grocery,"creal,oats,jams&honey",delicia peanut butter no added sugar 300gm,136.25,hero,300,1.0,,2026-06-25
n51893766a,noon,grocery,"creal,oats,jams&honey",cooking oats 450grams,88.25,abu auf,450,1.0,,2026-06-25
z35b048a0427f29e56ba3z,noon,grocery,"creal,oats,jams&honey",bars 25g - 6 bars,115.0,nesquik,150,1.0,,2026-06-25
n28548502a,noon,grocery,"creal,oats,jams&honey",fruit muesli 1kg,337.0,sante,1000,1.0,,2026-06-25
